Input,Output
"Sword, storm element, uncommon",Rain of the Aegis
"Axe, light element, mythic",Mythic Kris of Deep
"Staff, poison element, common",Fang-Slicer of Sacred
"Hammer, ice element",Glacier-Aegis
"Spear, light element, common",Halo of the Whisper of Aurora
"Scythe, wind element, uncommon",Zephyr-Aegis
"Crossbow, arcane element, common",Common Fang of Venom
"Wand, ice element, epic",Chill of the Warden
"Scythe, toxic element",Toxic-Staff
"Shield, earth element, ancient",Stone-Reaver of Root
"Axe, shadow element, legendary",The Spire
"Spear, void element",Dark-Breaker
"Staff, light element, ancient",The Edge of Faith
"Spear, toxic element, rare",Decay-Wand
"Crossbow, earth element, ancient",Ancient Whisper
"Mace, shadow element, rare",Night of the Lance
"Whip, storm element, rare",Tempest of the Shard of Rain
"Shield, shadow element, epic",The Shard of Boulder
"Hammer, holy element, epic",FaithCutter
"Shield, water element, epic",Epic Maul
"Shield, storm element, epic",Storm-Staff of Shade
"Staff, toxic element, mythic",Blight of the Glaive
"Dagger, holy element, ancient",The Reaver of Sanguine
"Orb, water element, mythic",Tide-Claw
"Mace, arcane element, rare",Arcana of the Wand
"Mace, void element, epic",Blackhole of the Scythe of Snow
"Scythe, arcane element, rare",Spell-Claw of Blood
"Mace, ice element, epic",Glacier of the Kris of Aqua
"Dagger, blood element",Crimson-Cutter
"Axe, light element, uncommon",RadiantWand of Umbral
"Staff, wind element, legendary",The Spire of Dusk
"Bow, blood element, ancient",PulseStaff
"Crossbow, storm element, epic",RainShard
"Whip, earth element, common",Common Warden
"Wand, water element, mythic",The Aegis of Corrupt
"Staff, arcane element, legendary",MysticWhisper
"Gauntlet, ice element, uncommon",Snow of the Whisper
"Mace, light element",Sun-Breaker of Decay
"Wand, arcane element, ancient",ArcanaFang
"Staff, water element, rare",WaveGlaive
"Axe, fire element, rare",The Cutter
"Spear, blood element, rare",Rare Lance
"Sword, light element, ancient",Aurora of the Kris of Aqua
"Sword, poison element, rare",Toxic of the Glaive
"Scythe, lightning element, uncommon",The Fang of Umbral
"Crossbow, water element, ancient",The Talon
"Crossbow, void element, epic",Void of the Aegis of Abyss
"Wand, blood element, rare",Rare Breaker of Bolt
"Scythe, blood element, common",The Blade
"Hammer, void element, rare",Dark of the Edge of Spell
"Wand, lightning element, rare",BoltTalon
"Mace, poison element, epic",Plague of the Breaker of Glacier
"Spear, storm element, common",Common Cutter
"Shield, void element, mythic",The Slicer of Pulse
"Crossbow, fire element, uncommon",Pyro-Lance of Aqua
"Scythe, shadow element, uncommon",The Kris
"Whip, holy element, uncommon",Blessed-Scythe of Venom
"Shield, holy element, uncommon",The Breaker
"Dagger, ice element, ancient",ChillReaver
"Sword, void element, ancient",The Lance
"Staff, shadow element, rare",Umbral of the Claw of Blight
"Whip, poison element, mythic",FangShard of Night
"Wand, holy element, common",Grace-Breaker
"Shield, toxic element, mythic",Corrupt of the Scythe
"Hammer, fire element",Blaze-Staff
"Wand, ice element, rare",IceSlicer
"Orb, blood element, mythic",BloodStaff
"Scythe, shadow element, rare",The Aegis of Abyss
"Shield, void element, legendary",BlackholeWhisper
"Shield, storm element, uncommon",Uncommon Shard
"Shield, light element, legendary",HaloCutter
"Shield, storm element, uncommon",Uncommon Blade
"Dagger, lightning element, ancient",Ancient Whisper of Null
"Sword, earth element, rare",Quake of the Breaker of Gale
"Whip, holy element, legendary",Grace-Cutter
"Spear, storm element, legendary",Rain of the Warden
"Shield, holy element, rare",Rare Slicer of Faith
"Dagger, holy element, rare",The Edge
"Sword, wind element, legendary",Whirl-Spire of Inferno
"Staff, holy element, epic",Sacred of the Hammer
"Gauntlet, ice element, mythic",Chill-Edge
"Hammer, void element, rare",Dark of the Glaive
"Wand, poison element",Plague-Kris
"Bow, holy element, uncommon",The Kris of Cloud
"Shield, fire element, mythic",Mythic Warden
"Bow, void element, common",The Wand of Null
"Wand, shadow element, common",Gloom of the Whisper
"Orb, water element, rare",Tide of the Blade of Glacier
"Wand, shadow element, rare",Rare Breaker
"Shield, storm element, uncommon",Uncommon Scythe of Pyro
"Hammer, toxic element",Mire-Kris of Terra
"Whip, lightning element, rare",Thunder of the Blade of Glacier
"Mace, arcane element, mythic",Mythic Breaker
"Orb, water element, common",WaveSlicer
"Orb, arcane element, legendary",Rune-Shard of Hemorrhage
"Shield, blood element, rare",HemorrhageWarden
"Sword, ice element, legendary",The Scythe of Luminous
"Axe, arcane element, epic",Epic Claw
"Scythe, shadow element, legendary",Umbral-Maul
"Scythe, storm element, ancient",Squall of the Reaver of Rune
"Shield, arcane element, mythic",Mythic Scythe
"Orb, arcane element, rare",MysticGlaive of Toxic
"Gauntlet, water element, legendary",Aqua of the Shard of Breeze
"Staff, light element, ancient",The Fury of Storm
"Gauntlet, holy element, epic",SacredSpire
"Mace, water element, common",Tide-Lance
"Shield, lightning element, ancient",ShockClaw
"Gauntlet, ice element, uncommon",Snow of the Edge
"Axe, ice element, epic",The Spire
"Sword, holy element, mythic",The Cutter
"Orb, wind element, common",The Kris of Aqua
"Staff, light element, uncommon",SunBlade of Snow
"Shield, storm element, epic",Storm-Wand of Bolt
"Scythe, wind element, uncommon",Zephyr-Warden
"Staff, storm element, legendary",RainCutter
"Dagger, light element, uncommon",The Talon
"Scythe, storm element, rare",Rare Staff
"Wand, toxic element, ancient",Corrupt-Fury of Shock
"Bow, light element, ancient",Sun-Kris
"Dagger, ice element, legendary",Glacier-Spire
"Scythe, toxic element, epic",The Scythe of Dark
"Crossbow, water element, epic",Epic Edge of Mana
"Scythe, poison element, legendary",Plague of the Slicer of Cloud
"Sword, void element, ancient",The Staff of Radiant
"Scythe, wind element",Gale-Spire
"Dagger, water element, rare",WaveFang of Rune
"Axe, blood element, rare",Sanguine of the Lance of Divine
"Scythe, lightning element, uncommon",The Spire
"Hammer, holy element, epic",FaithKris of Chill
"Wand, poison element",Plague-Edge
"Staff, wind element, ancient",The Cutter
"Whip, arcane element, epic",The Fang
"Sword, earth element, common",StoneBreaker
"Staff, wind element, legendary",The Shard
"Gauntlet, blood element, uncommon",Sanguine-Claw of Chill
"Sword, storm element, uncommon",Rain of the Spire
"Scythe, light element, uncommon",HaloBreaker of Squall
"Sword, wind element, uncommon",Uncommon Slicer of Plague
"Scythe, lightning element",Shock-Maul
"Staff, water element, rare",WaveKris
"Whip, earth element, ancient",Ancient Reaver of Rune
"Whip, toxic element, common",The Blade
"Whip, arcane element, epic",The Spire
"Dagger, holy element, uncommon",DivineSlicer of Sacred
"Axe, arcane element, uncommon",Rune of the Breaker of Spark
"Staff, light element, ancient",The Scythe
"Wand, blood element, common",Pulse-Scythe
"Scythe, holy element, uncommon",The Breaker
"Whip, lightning element, rare",Thunder of the Whisper of Volt
"Spear, arcane element, epic",Epic Talon
"Spear, wind element, mythic",Gale-Reaver
"Whip, water element, rare",Deep of the Warden of Decay
"Whip, toxic element, common",The Cutter
"Dagger, holy element, epic",DivineWarden
"Mace, ice element, mythic",Chill of the Blade
"Wand, light element, ancient",The Kris of Inferno
"Whip, storm element, ancient",The Lance
"Whip, arcane element, rare",Mystic-Fang
"Bow, water element, ancient",FloodShard
"Crossbow, lightning element, ancient",Thunder of the Hammer of Blessed
"Whip, wind element, ancient",Ancient Spire
"Axe, shadow element, legendary",The Cutter
"Spear, shadow element, legendary",Dusk-Breaker of Spark
"Scythe, ice element, epic",IceTalon of Bolt
"Wand, earth element, mythic",TerraBreaker
"Gauntlet, toxic element, legendary",DecayHammer of Shade
"Mace, wind element, uncommon",Uncommon Scythe
"Bow, water element, ancient",FloodHammer of Breeze
"Sword, void element, mythic",The Glaive of Gloom
"Dagger, shadow element, mythic",The Reaver
"Crossbow, shadow element, rare",DuskKris of Grace
"Mace, wind element, legendary",Legendary Slicer of Acid
"Scythe, ice element, common",Common Shard
"Bow, ice element, common",Ice of the Spire
"Gauntlet, holy element, epic",SacredClaw of Blight
"Orb, void element, rare",Abyss of the Maul
"Scythe, wind element, uncommon",Zephyr-Blade of Ember
"Shield, storm element, epic",Storm-Claw of Chill
"Staff, shadow element, uncommon",The Scythe of Corrupt
"Dagger, blood element",Crimson-Hammer of Flood
"Sword, holy element, rare",Rare Kris of Umbral
"Hammer, blood element, legendary",Crimson of the Claw
"Orb, poison element, legendary",Legendary Kris
"Shield, void element, epic",The Whisper
"Bow, blood element, ancient",PulseFang of Rune
"Mace, light element",Sun-Scythe
"Spear, shadow element, mythic",Night-Scythe
"Mace, holy element, rare",Grace-Scythe
"Scythe, blood element, rare",Pulse-Hammer of Decay
"Gauntlet, earth element, mythic",Quake of the Scythe of Storm
"Spear, blood element, legendary",Sanguine-Edge
"Scythe, poison element, common",PlagueSpire
"Dagger, water element, epic",The Scythe
"Scythe, lightning element, uncommon",The Shard of Mire
"Staff, light element, uncommon",SunWand of Bolt
"Spear, water element, common",Flood of the Scythe
"Axe, water element, rare",Wave of the Spire
"Bow, earth element, mythic",The Maul
"Dagger, holy element, ancient",The Lance
"Sword, storm element, epic",Tempest of the Lance
"Shield, arcane element, mythic",Mythic Maul
"Gauntlet, poison element, rare",The Staff
"Mace, lightning element, common",Volt of the Claw of Gale
"Dagger, holy element, mythic",Blessed-Edge of Boulder
"Dagger, holy element, rare",The Shard of Boulder
"Sword, void element, ancient",The Breaker
"Axe, void element, uncommon",Uncommon Kris of Ember
"Dagger, toxic element, uncommon",The Whisper of Volt
"Hammer, void element, rare",Dark of the Lance
"Whip, earth element, ancient",Ancient Claw of Radiant
"Wand, holy element, common",Grace-Edge of Boulder
"Bow, blood element, common",Hemorrhage-Lance of Divine
"Shield, water element, legendary",Aqua of the Breaker
"Axe, water element, mythic",WaveHammer
"Spear, arcane element, ancient",Mystic of the Shard of Venom
"Whip, holy element, uncommon",Blessed-Wand
"Orb, light element, legendary",Luminous-Reaver
"Mace, ice element, mythic",Chill of the Breaker of Squall
"Wand, water element, mythic",The Warden
"Wand, arcane element, ancient",ArcanaAegis
"Scythe, toxic element, epic",The Shard of Breeze
"Gauntlet, poison element, common",ToxicSpire of Glacier
"Scythe, toxic element, epic",The Cutter of Flame
"Hammer, shadow element, ancient",The Maul
"Sword, wind element, legendary",Whirl-Maul of Toxic
"Mace, ice element, uncommon",Uncommon Shard of Rain
"Bow, water element, ancient",FloodMaul
"Wand, storm element, ancient",StormEdge
"Hammer, toxic element",Mire-Whisper of Tide
"Whip, poison element, rare",Toxic of the Spire
"Spear, shadow element, mythic",Night-Shard of Breeze
"Whip, ice element, epic",Epic Talon
"Wand, shadow element, mythic",Gloom-Breaker
"Gauntlet, ice element, legendary",The Kris
"Orb, void element, ancient",Void-Lance
"Whip, holy element, uncommon",Blessed-Shard of Mire
"Dagger, lightning element, common",The Glaive
"Shield, wind element, mythic",Zephyr of the Slicer of Deep
"Dagger, toxic element, legendary",Legendary Talon of Bolt
"Axe, storm element, mythic",The Whisper
"Gauntlet, earth element, mythic",Quake of the Fang
"Sword, ice element, ancient",SnowScythe
"Mace, earth element",Stone-Warden of Blessed
"Crossbow, wind element, ancient",Whirl of the Slicer
"Staff, toxic element, rare",Rare Talon
"Axe, shadow element, epic",The Claw
"Spear, water element, legendary",Legendary Whisper of Whirl
"Shield, poison element, legendary",The Wand
"Bow, ice element, epic",ChillGlaive
"Staff, toxic element, mythic",Blight of the Slicer
"Orb, shadow element, ancient",Ancient Shard
"Sword, wind element, uncommon",Uncommon Kris of Terra
"Gauntlet, void element",Null-Fang
"Wand, water element, mythic",The Blade
"Dagger, poison element, legendary",The Glaive
"Orb, shadow element, ancient",Ancient Cutter
"Orb, void element",Abyss-Glaive
"Gauntlet, earth element, mythic",Quake of the Scythe
"Crossbow, shadow element, ancient",DuskGlaive
"Staff, void element, mythic",BlackholeSlicer of Cloud
"Spear, water element, legendary",Legendary Wand
"Bow, shadow element, mythic",Gloom-Wand of Null
"Dagger, water element, rare",WaveKris
"Orb, earth element, ancient",Ancient Fury of Shade
"Wand, storm element, uncommon",Storm of the Scythe of Aurora
"Hammer, toxic element, mythic",Mythic Staff
"Crossbow, fire element, uncommon",Pyro-Wand
"Wand, earth element, rare",The Wand
"Hammer, toxic element, rare",Blight-Blade
"Whip, storm element, ancient",The Lance of Divine
"Staff, blood element, ancient",Ancient Talon
"Mace, wind element, uncommon",Uncommon Spire
"Wand, storm element, ancient",StormTalon
"Shield, void element, legendary",BlackholeReaver
"Gauntlet, blood element, common",Common Scythe of Quake
"Wand, ice element, ancient",The Cutter of Gale
"Hammer, ice element, legendary",Snow-Shard of Breeze
"Spear, ice element, epic",Epic Slicer
"Scythe, toxic element, ancient",CorruptLance
"Spear, shadow element, epic",The Blade of Glacier
"Scythe, water element, mythic",The Shard of Breeze
"Shield, ice element, ancient",ChillShard
"Crossbow, toxic element, mythic",Mythic Shard
"Wand, holy element, mythic",Mythic Cutter of Deep
"Bow, lightning element, epic",BoltFury of Blessed
"Spear, toxic element, legendary",Legendary Shard of Night
"Shield, fire element, mythic",Mythic Whisper
"Crossbow, ice element, rare",Glacier of the Glaive of Toxic
"Dagger, ice element, legendary",Glacier-Scythe of Luminous
"Axe, poison element, epic",AcidSpire
"Wand, fire element, mythic",The Talon
"Orb, storm element, mythic",Mythic Blade
"Dagger, void element, uncommon",The Scythe of Storm
"Mace, shadow element, legendary",Umbral-Hammer
"Sword, wind element, legendary",Whirl-Wand
"Gauntlet, blood element, uncommon",Sanguine-Lance
"Orb, water element, common",WaveSpire of Snow
"Dagger, lightning element, common",The Talon
"Wand, earth element, uncommon",Terra-Reaver
"Orb, shadow element, legendary",Legendary Kris
"Scythe, shadow element, uncommon",The Glaive
"Spear, blood element, common",PulseSpire of Blaze
"Sword, wind element, uncommon",Uncommon Staff
"Scythe, wind element, legendary",BreezeLance
"Sword, poison element, rare",Toxic of the Talon of Flame
"Staff, blood element, mythic",PulseStaff
"Whip, shadow element, legendary",GloomBreaker
"Sword, storm element, rare",Rain-Aegis
"Axe, poison element, epic",AcidKris of Ember
"Bow, holy element, rare",SacredWhisper
"Axe, ice element, epic",The Shard
"Sword, holy element, mythic",The Scythe of Dusk
"Wand, blood element, common",Pulse-Kris of Deep
"Whip, arcane element",Mystic-Scythe of Storm
"Wand, poison element, rare",VenomWhisper of Null
"Axe, storm element, mythic",The Hammer
"Gauntlet, ice element, uncommon",Snow of the Spire
"Mace, toxic element, legendary",Toxic-Whisper
"Shield, lightning element, ancient",ShockBlade
"Shield, wind element, ancient",The Staff
"Whip, earth element, ancient",Ancient Kris of Ember
"Crossbow, ice element, common",GlacierFang of Squall
"Dagger, ice element, legendary",Glacier-Kris
"Axe, water element, rare",Wave of the Fury of Mana
"Bow, ice element, rare",Frost of the Warden
"Staff, lightning element, mythic",The Breaker of Spark
"Whip, blood element, ancient",SanguineWhisper
"Crossbow, arcane element, common",Common Fury of Storm
"Whip, holy element, uncommon",Blessed-Reaver
"Spear, arcane element, ancient",Mystic of the Fury
"Whip, fire element, uncommon",The Maul
"Scythe, shadow element, uncommon",The Aegis
"Dagger, ice element, legendary",Glacier-Spire of Shock
"Wand, shadow element, common",Gloom of the Aegis
"Sword, lightning element, uncommon",Volt of the Hammer
"Staff, fire element, uncommon",Inferno of the Edge
"Dagger, shadow element, common",Common Blade
"Bow, arcane element, ancient",Mystic-Breaker of Snow
"Orb, lightning element, mythic",Mythic Lance of Divine
"Sword, wind element, legendary",Whirl-Lance of Divine
"Bow, lightning element, epic",BoltHammer of Flood
"Hammer, fire element",Blaze-Warden of Decay
"Spear, poison element, ancient",Acid of the Kris of Ember
"Spear, holy element, rare",The Cutter
"Spear, arcane element, mythic",Arcana-Scythe of Dusk
"Bow, poison element, epic",Fang of the Lance
"Spear, water element, ancient",The Spire of Inferno
"Scythe, light element",Luminous-Wand
"Axe, holy element, legendary",Legendary Edge
"Dagger, poison element, rare",The Cutter
"Axe, water element, mythic",WaveSlicer
"Spear, toxic element, epic",Corrupt-Reaver
"Orb, earth element, ancient",Ancient Breaker
"Whip, holy element, uncommon",Blessed-Shard of Breeze
"Sword, earth element, common",StoneWarden of Decay
"Bow, blood element, mythic",The Blade of Snow
"Mace, toxic element, legendary",Toxic-Slicer of Sacred
"Orb, arcane element, common",ArcanaGlaive
"Mace, light element",Sun-Edge of Spell
"Whip, blood element, ancient",SanguineSlicer of Pulse
"Orb, water element, common",WaveShard of Rain
"Mace, arcane element, common",Arcana of the Maul
"Crossbow, ice element, common",GlacierWand
"Crossbow, water element, epic",Epic Shard
"Orb, holy element, rare",The Breaker
"Gauntlet, poison element, rare",The Scythe of Dusk
"Shield, ice element, ancient",ChillLance of Acid
"Wand, fire element",Inferno-Slicer
"Orb, water element, rare",Tide of the Maul
"Hammer, holy element, epic",FaithShard
"Gauntlet, light element",Halo-Kris of Frost
"Staff, holy element, rare",GraceAegis of Corrupt
"Dagger, arcane element, epic",The Talon of Bolt
"Shield, water element, uncommon",Deep-Shard of Shade
"Sword, void element, mythic",The Staff
"Hammer, toxic element, epic",Epic Maul
"Orb, shadow element, legendary",Legendary Fury of Mana
"Gauntlet, ice element, legendary",The Edge
"Staff, ice element, common",Chill of the Staff
"Mace, wind element, legendary",Legendary Cutter of Flame
"Hammer, arcane element, legendary",Rune of the Whisper
"Sword, lightning element, uncommon",Volt of the Shard
"Gauntlet, wind element, common",Storm-Lance of Tempest
"Scythe, earth element, legendary",Stone-Talon
"Wand, toxic element, epic",Toxic of the Hammer
"Axe, lightning element, legendary",Legendary Claw
"Gauntlet, toxic element, legendary",DecayHammer
"Scythe, earth element, uncommon",The Breaker of Blight
"Sword, earth element, common",StoneAegis of Grace
"Sword, holy element, legendary",Blessed of the Cutter of Rain
"Whip, poison element, epic",The Scythe of Pyro
"Wand, storm element, ancient",StormMaul
"Orb, earth element, ancient",Ancient Scythe
"Spear, wind element, ancient",The Scythe
"Crossbow, earth element, mythic",Mythic Shard of Shade
"Dagger, wind element, common",Breeze of the Hammer of Blessed
"Shield, fire element, legendary",Inferno-Talon
"Axe, light element, legendary",The Spire of Blessed
"Bow, toxic element, legendary",Legendary Fang of Umbral
"Dagger, toxic element, uncommon",The Scythe of Sanguine
"Axe, holy element, rare",Rare Reaver
"Axe, poison element, epic",AcidEdge
"Wand, fire element, mythic",The Cutter of Sanguine
"Bow, holy element, uncommon",The Maul of Halo
"Crossbow, wind element, common",Common Kris
"Mace, arcane element, uncommon",Mana of the Kris of Deep
"Wand, blood element",Crimson-Warden of Decay
"Shield, light element, ancient",The Kris
"Wand, shadow element, common",Gloom of the Slicer of Pulse
"Crossbow, earth element, uncommon",Uncommon Talon
"Dagger, poison element, uncommon",Venom of the Whisper of Null
"Hammer, ice element, legendary",Snow-Staff
"Shield, void element, epic",The Shard
"Sword, toxic element",Mire-Claw
"Scythe, water element, common",Deep-Kris
"Whip, wind element, rare",Rare Wand
"Sword, storm element, epic",Tempest of the Cutter of Gale
"Shield, arcane element, common",ManaKris
"Shield, water element, uncommon",Deep-Wand of Umbral
"Gauntlet, void element",Null-Fury
"Dagger, blood element",Crimson-Edge
"Scythe, toxic element, ancient",CorruptSlicer
"Scythe, blood element, mythic",CrimsonShard of Squall
"Bow, wind element, uncommon",ZephyrTalon
"Orb, void element, common",Null-Hammer
"Spear, blood element, rare",Rare Warden of Decay
"Crossbow, wind element, ancient",Whirl of the Spire of Mystic
"Bow, ice element, common",Ice of the Kris of Deep
"Axe, lightning element, legendary",Legendary Shard
"Wand, holy element, common",Grace-Blade of Snow
"Staff, lightning element, rare",Rare Breaker of Tide
"Wand, storm element, uncommon",Storm of the Spire of Snow
"Dagger, water element, mythic",Mythic Cutter of Flame
"Whip, storm element, mythic",Mythic Blade of Abyss
"Whip, light element, uncommon",Aurora of the Glaive
"Orb, toxic element, common",The Cutter
"Crossbow, earth element, uncommon",Uncommon Spire of Glacier
"Spear, water element, ancient",The Slicer of Pulse
"Shield, void element, epic",The Talon
"Scythe, lightning element, ancient",Thunder-Reaver of Blackhole
"Bow, poison element, epic",Fang of the Fury of Blessed
"Gauntlet, fire element, ancient",Ancient Talon
"Bow, water element, legendary",AquaWand of Blessed
"Bow, toxic element, ancient",The Kris of Ember
"Scythe, lightning element, rare",SparkMaul
"Sword, light element, ancient",Aurora of the Blade of Snow
"Shield, blood element, ancient",Sanguine-Slicer of Pulse
"Staff, water element, rare",WaveBreaker
"Mace, fire element, uncommon",Flame of the Aegis
"Spear, toxic element, legendary",Legendary Maul
"Shield, water element, uncommon",Deep-Claw
"Dagger, shadow element, mythic",The Lance
"Wand, ice element, ancient",The Maul
"Gauntlet, ice element, uncommon",Snow of the Kris
"Orb, holy element, rare",The Staff
"Wand, void element",Void-Scythe
"Spear, holy element, ancient",The Reaver of Blackhole
"Crossbow, void element, epic",Void of the Shard
"Axe, toxic element",Corrupt-Blade
"Crossbow, shadow element, rare",DuskLance
"Scythe, storm element, ancient",Squall of the Slicer
"Bow, storm element, uncommon",StormBlade
"Shield, void element, rare",Dark of the Kris of Frost
"Shield, fire element, mythic",Mythic Cutter of Flame
"Gauntlet, wind element, epic",The Reaver
"Wand, storm element, ancient",StormStaff of Radiant
"Hammer, toxic element",Mire-Breaker of Mana
"Sword, blood element",Sanguine-Blade
"Wand, shadow element, rare",Rare Talon
"Wand, blood element, rare",Rare Glaive of Gloom
"Spear, water element, common",Flood of the Whisper
"Whip, poison element, epic",The Warden
"Wand, poison element, uncommon",Uncommon Blade of Snow
"Dagger, holy element, ancient",The Aegis
"Mace, shadow element, ancient",UmbralHammer
"Gauntlet, poison element, common",ToxicLance of Aqua
"Bow, shadow element, mythic",Gloom-Talon
"Hammer, ice element",Glacier-Fang of Night
"Dagger, water element, mythic",Mythic Aegis
"Mace, ice element, uncommon",Uncommon Wand of Blessed
"Dagger, ice element, uncommon",The Maul
"Sword, holy element, rare",Rare Glaive
"Wand, toxic element, epic",Toxic of the Wand
"Spear, shadow element, legendary",Dusk-Slicer of Cloud
"Shield, fire element, mythic",Mythic Slicer of Sacred
"Staff, toxic element, mythic",Blight of the Blade
"Wand, shadow element, mythic",Gloom-Staff
"Dagger, blood element",Crimson-Fury
"Staff, lightning element, common",Volt of the Edge
"Bow, toxic element, ancient",The Whisper
"Scythe, fire element, common",Blaze-Breaker
"Hammer, ice element, legendary",Snow-Kris
"Wand, holy element, mythic",Mythic Edge
"Orb, ice element, uncommon",Uncommon Talon of Dusk
"Hammer, wind element, uncommon",WhirlTalon of Bolt
"Axe, void element, rare",The Scythe of Wave
"Crossbow, light element, legendary",Luminous of the Claw
"Mace, lightning element, common",Volt of the Kris
"Shield, fire element, legendary",Inferno-Fang of Sanguine
"Shield, poison element, common",Plague of the Reaver of Gale
"Wand, water element, mythic",The Hammer
"Spear, blood element, legendary",Sanguine-Reaver of Blessed
"Hammer, blood element, mythic",Sanguine of the Wand
"Hammer, arcane element, legendary",Rune of the Slicer of Cloud
"Spear, shadow element, legendary",Dusk-Hammer
"Sword, toxic element, rare",Decay-Wand
"Scythe, arcane element, rare",Spell-Shard of Shade
"Crossbow, shadow element, rare",DuskGlaive
"Bow, toxic element, legendary",Legendary Scythe of Aurora
"Spear, storm element, epic",Rain-Hammer of Blessed
"Sword, fire element, common",Common Breaker
"Mace, arcane element, legendary",Mana of the Breaker
"Scythe, ice element, common",Common Wand
"Sword, water element, mythic",Deep-Whisper
"Gauntlet, lightning element, common",Volt of the Staff
"Orb, poison element, legendary",Legendary Fury of Mana
"Sword, storm element, legendary",Legendary Cutter
"Bow, blood element, common",Hemorrhage-Slicer
"Mace, arcane element, uncommon",Mana of the Edge
"Wand, toxic element, ancient",Corrupt-Lance
"Bow, light element, epic",SunWand
"Scythe, blood element, common",The Maul of Snow
"Bow, void element, mythic",The Whisper
"Mace, ice element, uncommon",Uncommon Scythe of Pyro
"Shield, blood element, ancient",Sanguine-Whisper
"Shield, poison element, legendary",The Breaker of Bolt
"Mace, fire element, uncommon",Flame of the Slicer of Radiant
"Bow, holy element, rare",SacredShard
"Scythe, storm element, rare",Rare Edge
"Gauntlet, poison element, uncommon",Uncommon Warden
"Wand, arcane element, ancient",ArcanaWarden
"Orb, ice element, epic",The Fury
"Bow, blood element, mythic",The Breaker of Blaze
"Scythe, lightning element, uncommon",The Wand of Null
"Whip, wind element, mythic",The Reaver
"Whip, ice element, epic",Epic Aegis of Ember
"Orb, water element, rare",Tide of the Breaker of Breeze
"Dagger, holy element, common",SacredFury
"Whip, shadow element, legendary",GloomScythe of Aurora
"Spear, holy element, common",Faith of the Spire
"Spear, arcane element, mythic",Arcana-Shard
"Scythe, water element, uncommon",Flood of the Talon of Dusk
"Axe, fire element, uncommon",FlameKris
"Sword, earth element, rare",Quake of the Maul
"Whip, wind element, mythic",The Lance
"Sword, storm element, legendary",Legendary Cutter of Thunder
"Axe, light element, mythic",Mythic Fang of Night
"Bow, earth element, mythic",The Scythe
"Bow, blood element, ancient",PulseFury
"Axe, light element, legendary",The Fang
"Orb, light element, rare",Rare Whisper
"Dagger, toxic element, rare",Mire-Reaver
"Shield, void element, legendary",BlackholeKris
"Dagger, lightning element, mythic",VoltShard
"Axe, light element, mythic",Mythic Fury of Shade
"Scythe, fire element, common",Blaze-Maul
"Staff, wind element, ancient",The Reaver
"Whip, fire element, mythic",The Warden of Decay
"Mace, light element, uncommon",The Scythe of Venom
"Hammer, void element, rare",Dark of the Kris
"Staff, shadow element, common",Umbral of the Slicer
"Whip, holy element, uncommon",Blessed-Staff
"Wand, poison element, uncommon",Uncommon Reaver
"Whip, arcane element, mythic",The Maul of Radiant
"Bow, water element, rare",FloodEdge
"Bow, lightning element, ancient",The Warden of Blessed
"Bow, ice element, rare",Frost of the Whisper
"Whip, wind element, mythic",The Breaker
"Crossbow, storm element, epic",RainGlaive of Void
"Staff, ice element, common",Chill of the Slicer
"Spear, shadow element, legendary",Dusk-Blade
"Mace, light element",Sun-Wand
"Axe, storm element, legendary",Storm-Scythe
"Crossbow, holy element, common",The Reaver of Gloom
"Mace, arcane element, rare",Arcana of the Staff of Rune
"Dagger, ice element, legendary",Glacier-Scythe of Dark
"Axe, blood element, rare",Sanguine of the Shard
"Spear, storm element, legendary",Rain of the Fang of Stone
"Dagger, fire element, ancient",Ember-Scythe of Hemorrhage
"Shield, poison element, epic",AcidSpire of Dusk
"Staff, light element, rare",Aurora of the Glaive
"Mace, earth element",Stone-Staff
"Whip, earth element, common",Common Slicer
"Whip, arcane element, mythic",The Breaker of Squall
"Gauntlet, light element",Halo-Lance
"Scythe, toxic element",Toxic-Shard
"Mace, ice element, epic",Glacier of the Cutter of Spark
"Crossbow, fire element, uncommon",Pyro-Maul
"Mace, poison element, epic",Plague of the Whisper of Null
"Wand, fire element, mythic",The Aegis
"Orb, arcane element, rare",MysticWhisper
"Crossbow, fire element, uncommon",Pyro-Glaive of Gloom
"Mace, toxic element, legendary",Toxic-Reaver of Root
"Scythe, wind element",Gale-Blade
"Sword, fire element, common",Common Scythe of Snow
"Orb, ice element, uncommon",Uncommon Fury of Shock
"Mace, arcane element, rare",Arcana of the Staff of Bolt
"Whip, light element, uncommon",Aurora of the Glaive of Toxic
"Sword, light element, rare",Luminous of the Blade
"Orb, ice element, uncommon",Uncommon Staff of Rune
"Scythe, water element, legendary",Deep-Talon of Flame
"Scythe, earth element, uncommon",The Aegis of Grace
"Crossbow, fire element, rare",Ember of the Whisper
"Shield, light element, rare",Sun of the Scythe of Aurora
"Shield, storm element, common",The Slicer of Cloud
"Wand, storm element, uncommon",Storm of the Reaver
"Mace, light element, uncommon",The Talon of Dusk
"Whip, lightning element, epic",Volt of the Scythe of Venom
"Sword, holy element, rare",Rare Hammer
"Staff, void element, legendary",The Reaver
"Shield, storm element, epic",Storm-Fury of Null
"Dagger, holy element, rare",The Glaive of Ember
"Mace, lightning element",Thunder-Spire
"Orb, toxic element, rare",The Scythe
"Scythe, shadow element, uncommon",The Shard of Breeze
